pair_group,x,y,r,p,n
1x2,loudness,energy,0.7616898441659467,0.0,113999
1x2,loudness,acousticness,-0.5898037428970189,0.0,113999
1x2,loudness,instrumentalness,-0.4334784585939205,0.0,113999
1x2,loudness,valence,0.27985128595222986,0.0,113999
1x2,loudness,danceability,0.2590761670607867,0.0,113999
1x2,tempo,energy,0.24785199074629072,0.0,113999
1x2,tempo,acousticness,-0.2082309388837037,0.0,113999
1x2,time_signature,danceability,0.20721902810732892,0.0,113999
1x2,time_signature,energy,0.18712661152664256,0.0,113999
1x2,time_signature,acousticness,-0.17614150321971267,0.0,113999
1x2,duration_ms,valence,-0.15446366199071787,0.0,113999
1x2,time_signature,valence,0.13368462513218726,0.0,113999
1x2,duration_ms,instrumentalness,0.12436393777162551,0.0,113999
1x2,duration_ms,acousticness,-0.10376973545036647,2.265159014522018e-270,113999
1x2,mode,acousticness,0.09556763064986337,1.8631344456975642e-229,113999
2x3,instrumentalness,popularity,-0.09514665337271001,1.8958986924605344e-227,113999
1x2,time_signature,instrumentalness,-0.0825795343381327,1.174952848845344e-171,113999
1x2,mode,energy,-0.07836515946353965,9.8285484522266e-155,113999
1x2,tempo,valence,0.07826874819588553,2.33963675360295e-154,113999
1x2,loudness,liveness,0.07689733278564446,4.74584507040826e-149,113999
1x2,duration_ms,danceability,-0.07343480995635328,4.515923621939913e-136,113999
1x2,mode,danceability,-0.06922424421606833,4.222863031979217e-121,113999
1x2,duration_ms,speechiness,-0.06260534645505036,2.307828128468443e-99,113999
1x2,loudness,speechiness,0.06082587874384062,6.815633291681191e-94,113999
1x2,duration_ms,energy,0.05851962404139706,4.874433900889057e-87,113999
1x2,tempo,danceability,-0.050448166058775584,3.882927856256567e-65,113999
1x3,loudness,popularity,0.050420418124264794,4.558873504475525e-65,113999
1x2,tempo,instrumentalness,-0.05032818418869621,7.767098609465935e-65,113999
1x2,mode,instrumentalness,-0.049960761181781915,6.424960462297797e-64,113999
1x2,key,energy,0.04800664233414214,3.7618920697642867e-59,113999
1x2,mode,speechiness,-0.04653474391760144,1.0995419138968396e-55,113999
2x3,speechiness,popularity,-0.04492998314226792,4.981178069155057e-52,113999
1x2,key,acousticness,-0.04094204095670767,1.69875902359641e-43,113999
2x3,valence,popularity,-0.0405217622020461,1.2119788679512215e-42,113999
1x2,key,danceability,0.03647040820749172,7.270729365699943e-35,113999
2x3,danceability,popularity,0.03544354596134703,5.060255312134873e-33,113999
1x2,key,valence,0.03409916098268956,1.0910652968690933e-30,113999
1x3,time_signature,popularity,0.031075967793414677,9.124398080170683e-26,113999
2x3,acousticness,popularity,-0.02545805725511997,8.190493431549714e-18,113999
1x2,time_signature,liveness,-0.02364920069108959,1.3951954893330805e-15,113999
1x2,mode,valence,0.021964454390540882,1.1995298091333049e-13,113999
1x2,key,speechiness,0.020418643358740378,5.396326814760808e-12,113999
1x2,tempo,speechiness,0.0172743352404117,5.4494266248269104e-09,113999
1x2,mode,liveness,0.014003846849007833,2.26293648465252e-06,113999
1x3,mode,popularity,-0.013948367242907454,2.481210973442748e-06,113999
1x3,tempo,popularity,0.013211888443029748,8.158830984776987e-06,113999
1x2,duration_ms,liveness,0.010307959992045734,0.0005006528057604357,113999
1x3,duration_ms,popularity,-0.007129199829767934,0.016080270813638966,113999
1x2,key,instrumentalness,-0.0068208666512110435,0.021279907870835977,113999
2x3,liveness,popularity,-0.005396753083609535,0.06843391924608516,113999
1x3,key,popularity,-0.0038469873002555856,0.1939860499579419,113999
1x2,key,liveness,-0.0015970016324854132,0.5897475649981193,113999
2x3,energy,popularity,0.0010531126538156866,0.7221653128496678,113999
1x2,tempo,liveness,0.00060323611790912,0.8386091621639095,113999
1x2,time_signature,speechiness,-1.0676654782975498e-05,0.9971237933886096,113999
