pair_group,x,y,overall_r,overall_p,genre_r_mean,genre_r_std,genre_r_min,genre_r_min_genre,genre_r_max,genre_r_max_genre,n_sign_flip,n_genres
1x2,loudness,acousticness,-0.5898037428970189,0.0,-0.3642402752061803,0.1871404365110924,-0.7973250738141529,piano,0.08479478409916684,happy,3,114
1x2,loudness,instrumentalness,-0.4334784585939205,0.0,-0.2027715351673259,0.18070638069376505,-0.8735854194786092,piano,0.10900554078050687,power-pop,5,114
1x2,loudness,danceability,0.2590761670607867,0.0,0.05584361607196383,0.1777983868737044,-0.3511745458912285,dub,0.6680778298572242,german,39,114
1x2,tempo,danceability,-0.050448166058775584,3.882927856256567e-65,-0.12663211523237294,0.15985516714813003,-0.4266083000426486,hardcore,0.48399078449304944,sleep,20,114
1x2,duration_ms,instrumentalness,0.12436393777162551,0.0,0.04486047151956501,0.15405332944492126,-0.4501593887764381,anime,0.542271013319698,techno,43,114
1x2,loudness,valence,0.27985128595222986,0.0,0.18800819057907334,0.14695802115775528,-0.308864082073501,dub,0.538432844656306,german,10,114
1x3,loudness,popularity,0.050420418124264794,4.558873504475525e-65,0.013413978435572823,0.13956164165602955,-0.4061397476271103,sleep,0.45571751241850017,world-music,50,114
1x2,duration_ms,danceability,-0.07343480995635328,4.515923621939913e-136,-0.10859995861992494,0.13889753371859717,-0.38770078848832046,groove,0.3556063969856841,hardcore,22,114
1x2,duration_ms,energy,0.05851962404139706,4.874433900889057e-87,-0.006562496427063265,0.13861273694287493,-0.36044670173193133,power-pop,0.3906349589683673,anime,56,114
1x2,loudness,speechiness,0.06082587874384062,6.815633291681191e-94,0.07338991494145966,0.13524374739755513,-0.3245549233325057,kids,0.3420300537059064,death-metal,32,114
2x3,acousticness,popularity,-0.02545805725511997,8.190493431549714e-18,-0.0071645745807420716,0.13261122863005992,-0.4817396953771993,comedy,0.33392022823155837,pagode,64,114
1x2,duration_ms,valence,-0.15446366199071787,0.0,-0.1599927903234331,0.12623000023538222,-0.5168442442688754,tango,0.16052146555254757,indian,11,114
2x3,energy,popularity,0.0010531126538156866,0.7221653128496678,-0.0225190300175378,0.125062668241812,-0.2458536872428783,iranian,0.4113492219106643,classical,74,114
1x2,duration_ms,acousticness,-0.10376973545036647,2.265159014522018e-270,-0.05222934137696483,0.11853728056535022,-0.41888753123863354,rockabilly,0.2560151240905727,k-pop,37,114
2x3,danceability,popularity,0.03544354596134703,5.060255312134873e-33,0.016539954084465732,0.11469027269759362,-0.34852393709153584,sleep,0.37361203724970743,comedy,43,114
2x3,instrumentalness,popularity,-0.09514665337271001,1.8958986924605344e-227,-0.011325138001043978,0.11002393417259847,-0.4794767607347597,world-music,0.32002167257072733,sleep,54,114
1x2,tempo,speechiness,0.0172743352404117,5.4494266248269104e-09,0.1068501812350312,0.10587081812296857,-0.33719477957870403,comedy,0.3473587825038582,j-rock,12,114
1x3,duration_ms,popularity,-0.007129199829767934,0.016080270813638966,0.007113355856203821,0.09935796669712683,-0.2723759179532185,deep-house,0.302948266286187,jazz,60,114
1x2,duration_ms,liveness,0.010307959992045734,0.0005006528057604357,0.01302676009988697,0.09917524872860231,-0.2805931641368463,techno,0.256586531660136,folk,54,114
2x3,valence,popularity,-0.0405217622020461,1.2119788679512215e-42,-0.036874701206050846,0.09744567058517381,-0.28517467145650277,sleep,0.23871029040838374,j-pop,44,114
1x2,tempo,energy,0.24785199074629072,0.0,0.15042092465145543,0.09709038117448106,-0.11066299971849389,comedy,0.387883554755383,iranian,6,114
1x2,loudness,energy,0.7616898441659467,0.0,0.6882167810078914,0.09489679489916615,0.39996786488757824,sleep,0.8881099629789313,german,0,114
1x2,tempo,valence,0.07826874819588553,2.33963675360295e-154,0.06664419466540325,0.09402969957930139,-0.1741913424090855,trance,0.32021960660913507,honky-tonk,24,114
1x2,time_signature,energy,0.18712661152664256,0.0,0.10293288455500313,0.09262600333222704,-0.09461642338318166,hardcore,0.41457145943675916,pop,14,114
1x2,duration_ms,speechiness,-0.06260534645505036,2.307828128468443e-99,-0.08596917471358317,0.0918744727615487,-0.2973925894171117,power-pop,0.18080225114576318,classical,18,114
2x3,speechiness,popularity,-0.04492998314226792,4.981178069155057e-52,-0.022084671371595584,0.09154903756392709,-0.43288337809256594,comedy,0.3284923881503957,funk,44,114
