feature,perm_importance_mean,perm_importance_std,rf_impurity_importance
contrast,0.10162601626016259,0.026594190624058735,0.1390138141040993
harmonic_ratio,0.08191056910569104,0.01772026708851796,0.16128821804238697
rms,0.057723577235772365,0.01295721743943841,0.1324196263063305
flux,0.038008130081300814,0.0198948338862436,0.10630575627342298
rolloff,0.03373983739837398,0.016035026766923585,0.08516817472529643
voiced_frac_mix,1.8503717077085942e-18,0.012195121951219516,0.047518426129603844
centroid,0.0,0.011353040685991017,0.06560505272739756
mode_score,-0.0032520325203252024,0.01396978884344682,0.05499116023154582
tempo_excerpt,-0.005487804878048785,0.005065014550559807,0.017976129597589346
duration_s,-0.007113821138211383,0.012405036194851324,0.0632614144262995
flatness,-0.011178861788617888,0.012603265038965443,0.06057887502387377
zcr,-0.013008130081300818,0.009798350238369063,0.06587335241215393
