feature,r2_by_others,VIF
centroid,0.980637619222919,51.64654137902756
rolloff,0.9637824178376329,27.610898914148855
zcr,0.9388402486689265,16.35062239849115
flatness,0.8908578295077118,9.162361308094544
harmonic_ratio,0.7426921338272973,3.8863949823003425
contrast,0.6313403455104492,2.7125289893319304
flux,0.4985366758641664,1.9941637840081112
rms,0.4087804161201831,1.6914189368315649
voiced_frac_mix,0.35426626618020773,1.5486259236985664
duration_s,0.1637446648686871,1.1958070196861286
mode_score,0.13243974673776537,1.152657692926526
tempo_excerpt,0.0826168028829275,1.090057026488555
