song_name,author,current_url,modified_url,plb
DEAD HEAT BEAT,raise_a_suilen,https://youtu.be/U4pbo95vPLw,,region_blocked (KR 지역제한) [UNPLAYABLE]
Our Carol,roselia,https://youtu.be/YFgOepr8D1U,,region_blocked (KR 지역제한) [UNPLAYABLE]
Swear ～Night & Day～,roselia,https://youtu.be/KL3YlXhEnWE,,region_blocked (KR 지역제한) [UNPLAYABLE]
