song_name,url,type,author,note,comment
千本桜,,cover,poppin_party,region_blocked (KR 지역제한) [UNPLAYABLE],blocked: https://youtu.be/Etgy6v3dcBI
DAYBREAK FRONTLINE,,cover,raise_a_suilen,region_blocked (KR 지역제한) [UNPLAYABLE],blocked: https://youtu.be/6fnHTFegaM4
DEAD HEAT BEAT,,original,raise_a_suilen,region_blocked (KR 지역제한) [UNPLAYABLE],blocked: https://youtu.be/U4pbo95vPLw
Our Carol,,original,roselia,region_blocked (KR 지역제한) [UNPLAYABLE],blocked: https://youtu.be/YFgOepr8D1U
