idx,band,song,id,spread_oct,peak_ratio,fold_med,dur,flagged,segs
196,morfonica,Sonorous,morfonica__196,3.29,2.000,132.5,313.3,0,129|133|133|133|133|133
415,poppin_party,キミにもらったもの,poppin_party__415,3.28,1.059,143.6,235.4,0,144|152|144|144|144|144
475,poppin_party,ミュージック・アワー (Cover),poppin_party__475,3.28,1.526,136.0,280.8,0,136|136|136|136|136|136
101,various_artists,Don't be afraid!,various_artists__101,3.27,2.071,92.3,238.8,0,92|92|117|92|92|117
278,mygo,処救生,mygo__278,3.27,1.077,99.4,217.5,0,99|96|99|92|96|96
369,pastel_palettes,春擬き (Cover),pastel_palettes__369,3.25,1.467,172.3,269.0,0,172|172|172|172|172|172
120,hello_happy_world,うちゃパ！で ぱっぴかポーんっ！,hello_happy_world__120,3.24,1.538,99.4,217.8,0,99|99|99|99|99|99
530,raise_a_suilen,STRAY CERBERUS,raise_a_suilen__530,3.23,2.071,92.3,256.1,0,92|92|123|172|92|92
290,mygo,聿日箋秋,mygo__290,3.22,1.500,92.3,236.4,0,117|92|92|92|92|92
260,mygo,迷星叫,mygo__260,3.21,1.077,95.7,211.4,0,99|92|96|96|96|99
186,morfonica,金色へのプレリュード,morfonica__186,3.20,1.467,172.3,271.2,0,172|172|172|172|172|172
636,roselia,ファタール (Cover),roselia__636,3.18,1.941,156.6,220.8,0,152|157|157|157|157|157
408,poppin_party,ミライトレイン,poppin_party__408,3.17,1.933,172.3,355.7,0,172|178|172|172|172|172
173,hello_happy_world,おジャ魔女カーニバル!! (Cover),hello_happy_world__173,3.16,2.059,147.7,217.4,0,148|148|148|148|152|152
572,roselia,Opera of the wasteland,roselia__572,3.16,1.900,136.0,284.8,0,136|136|136|136|136|136
488,poppin_party,大河よ共に泣いてくれ (Cover),poppin_party__488,3.15,2.000,172.3,207.7,0,172|172|172|172|172|172
517,raise_a_suilen,しゅわりん☆どり～みん,raise_a_suilen__517,3.14,1.933,172.3,265.3,0,144|172|172|172|172|172
486,poppin_party,ヴァンパイア (Cover),poppin_party__486,3.13,1.500,161.5,182.2,0,161|161|161|161|161|161
567,raise_a_suilen,恋しさとせつなさと心強さと (Cover),raise_a_suilen__567,3.13,2.000,129.2,250.7,0,129|129|129|129|129|129
478,poppin_party,Daydream café (Cover),poppin_party__478,3.09,1.529,152.0,229.0,0,152|152|152|152|152|152
25,afterglow,カサブタ,afterglow__025,3.08,2.000,172.3,196.7,0,172|172|172|172|172|172
285,mygo,残痕字,mygo__285,3.07,1.467,172.3,255.1,0,172|172|172|172|172|172
309,pastel_palettes,きゅ～まい＊flower,pastel_palettes__309,3.06,2.000,92.3,220.6,0,92|92|92|92|92|92
352,pastel_palettes,♡桃色片想い♡ (Cover),pastel_palettes__352,3.05,1.471,152.0,257.6,0,152|152|152|152|152|152
566,raise_a_suilen,SAVIOR OF SONG (Cover),raise_a_suilen__566,3.05,1.077,99.4,249.2,0,96|99|99|99|99|99
609,roselia,Steadfast Spirits,roselia__609,3.05,2.077,95.7,224.9,0,96|96|99|99|96|96
338,pastel_palettes,ReReReエボリューションず☆,pastel_palettes__338,3.03,1.929,92.3,214.5,0,92|92|92|92|92|92
447,poppin_party,START!! True dreams,poppin_party__447,3.01,1.933,178.2,242.9,0,178|172|178|172|178|172
0,afterglow,ON YOUR MARK,afterglow__000,2.99,1.500,92.3,241.6,0,92|92|92|92|92|92
560,raise_a_suilen,Just Awake (Cover),raise_a_suilen__560,2.98,1.929,95.7,223.0,0,96|96|96|96|96|99
94,ave_mujica,DIVINE,ave_mujica__094,2.97,2.000,117.5,257.6,0,117|117|117|117|117|117
34,afterglow,燦々,afterglow__034,2.95,2.000,99.4,194.9,0,99|99|99|99|99|99
279,mygo,輪符雨,mygo__279,2.94,1.471,152.0,207.6,0,152|152|152|152|152|152
584,roselia,FIRE BIRD,roselia__584,2.93,2.000,152.0,360.3,0,152|152|152|152|152|152
470,poppin_party,トウキョウ・シャンディ・ランデヴ (Cover),poppin_party__470,2.92,1.900,136.0,186.9,0,136|136|136|136|136|136
15,afterglow,ランブリングメモリー,afterglow__015,2.91,1.050,123.0,325.0,0,129|123|123|123|123|123
507,raise_a_suilen,-N-E-M-E-S-I-S-,raise_a_suilen__507,2.91,1.500,143.6,267.8,0,144|144|144|144|144|144
138,hello_happy_world,Happy Girl,hello_happy_world__138,2.89,2.000,143.6,238.1,0,144|144|144|144|144|144
546,raise_a_suilen,OUTSIDER RODEO,raise_a_suilen__546,2.86,1.059,152.0,269.1,0,152|152|148|148|152|148
558,raise_a_suilen,第ゼロ感 (Cover),raise_a_suilen__558,2.85,1.529,152.0,288.8,0,152|152|152|152|152|152
632,roselia,Sing Alive,roselia__632,2.85,2.000,99.4,315.4,0,99|99|99|99|99|99
41,afterglow,Start as Usual,afterglow__041,2.84,2.071,92.3,276.3,0,103|92|92|92|92|92
483,poppin_party,DAYS (Cover),poppin_party__483,2.84,1.526,136.0,235.1,0,136|136|136|136|136|136
284,mygo,焚音打,mygo__284,2.83,1.929,95.7,242.9,0,99|96|92|96|92|96
50,afterglow,DAY×DAY (Cover),afterglow__050,2.76,2.077,99.4,219.1,0,96|96|96|99|99|99
158,hello_happy_world,最高到達点 (Cover),hello_happy_world__158,2.76,1.950,132.5,226.7,0,133|133|129|133|133|129
610,roselia,紫炎,roselia__610,2.73,1.929,95.7,221.4,0,96|96|96|96|96|96
115,hello_happy_world,えがおのオーケストラっ！,hello_happy_world__115,2.71,1.947,136.0,230.2,0,136|136|136|136|136|136
394,poppin_party,Yes! BanG_Dream! ～Popipa Acoustic Ver.～,poppin_party__394,2.70,2.000,172.3,308.4,0,172|172|172|172|172|172
17,afterglow,Trouble Joyful!!,afterglow__017,2.67,2.077,99.4,237.9,0,99|96|99|99|99|96
545,raise_a_suilen,Embrace of light,raise_a_suilen__545,2.66,2.000,152.0,272.0,0,152|152|152|152|152|152
521,raise_a_suilen,ゆら・ゆらRing-Dong-Dance,raise_a_suilen__521,2.65,2.000,172.3,294.9,0,152|172|172|172|172|172
236,morfonica,CQCQ (Cover),morfonica__236,2.64,2.000,143.6,221.8,0,144|144|144|144|144|144
342,pastel_palettes,デイオフ・ラフ・ラブ・サンクス,pastel_palettes__342,2.63,2.056,139.7,243.7,0,140|140|140|140|140|140
454,poppin_party,花園電気ギター！！！,poppin_party__454,2.63,1.929,92.3,199.1,0,92|92|92|92|92|92
472,poppin_party,メランコリック (Cover),poppin_party__472,2.63,1.056,139.7,221.0,0,140|140|140|140|140|140
363,pastel_palettes,Baby Sweet Berry Love (Cover),pastel_palettes__363,2.62,1.533,172.3,244.2,0,172|172|172|172|172|172
416,poppin_party,Light Delight,poppin_party__416,2.58,2.071,92.3,308.8,0,123|123|92|117|117|92
253,mugendai_mutype,エンプティパペット,mugendai_mutype__253,2.57,2.100,123.0,186.0,0,126|123|126|123|123|123
359,pastel_palettes,アイドル (Cover),pastel_palettes__359,2.57,1.938,161.5,214.4,0,167|167|167|152|161|161
18,afterglow,Jamboree!Journey!,afterglow__018,2.56,1.062,156.6,259.8,0,152|157|157|157|157|157
109,hello_happy_world,えがお･シング･あ･ソング,hello_happy_world__109,2.56,1.529,152.0,249.2,0,152|152|152|152|152|152
195,morfonica,Merry Merry Thanks!!,morfonica__195,2.55,2.000,143.6,257.7,0,144|144|144|144|144|144
291,mygo,往欄印,mygo__291,2.55,1.071,92.3,298.1,0,92|92|92|117|92|108
474,poppin_party,光るなら (Cover),poppin_party__474,2.55,2.000,161.5,253.8,0,161|161|161|161|161|161
111,hello_happy_world,にこ×にこ=ハイパースマイルパワー！,hello_happy_world__111,2.52,1.929,95.7,233.3,0,96|92|96|92|96|96
4,afterglow,ツナグ、ソラモヨウ,afterglow__004,2.50,2.077,95.7,248.9,0,96|96|99|96|96|96
187,morfonica,The Circle Of Butterflies,morfonica__187,2.48,2.000,172.3,258.8,0,172|172|172|172|172|172
432,poppin_party,雨上がり、キミと,poppin_party__432,2.48,1.929,92.3,265.9,0,92|92|92|92|92|92
95,ave_mujica,Sophie,ave_mujica__095,2.47,2.000,99.4,197.0,0,99|99|99|99|99|99
160,hello_happy_world,新宝島 (Cover),hello_happy_world__160,2.47,2.062,161.5,251.2,0,157|157|157|161|161|161
524,raise_a_suilen,ゴーカ！ごーかい！？ファントムシーフ！,raise_a_suilen__524,2.47,2.000,107.7,242.4,0,108|108|108|108|108|108
578,roselia,Determination Symphony,roselia__578,2.47,1.929,95.7,281.9,0,96|92|96|92|96|96
11,afterglow,Scarlet Sky,afterglow__011,2.46,2.071,123.0,229.0,0,144|178|123|178|92|123
480,poppin_party,＊〜アスタリスク〜 (Cover),poppin_party__480,2.46,2.000,129.2,252.7,0,129|129|129|129|129|129
66,afterglow,サムライハート（Some Like It Hot!!） (Cover),afterglow__066,2.45,2.091,112.3,190.6,0,117|112|117|112|112|112
213,morfonica,胡蝶翔る星月夜,morfonica__213,2.45,2.000,99.4,204.7,0,99|99|99|99|99|99
585,roselia,Safe and Sound,roselia__585,2.45,2.000,92.3,258.5,0,92|92|92|92|92|92
103,various_artists,"Be shine, shining!",various_artists__103,2.43,2.000,117.5,96.3,0,117|117|117|117|117|117
351,pastel_palettes,最上級にかわいいの！ (Cover),pastel_palettes__351,2.41,2.067,172.3,191.3,0,167|172|172|172|172|172
441,poppin_party,大好き！,poppin_party__441,2.37,1.067,161.5,247.5,0,161|161|161|161|161|161
241,mugendai_mutype,Dream Voyage,mugendai_mutype__241,2.36,2.062,156.6,262.3,0,157|157|157|157|157|161
556,raise_a_suilen,Get Wild (Cover),raise_a_suilen__556,2.35,1.900,136.0,199.6,0,136|136|136|136|136|136
340,pastel_palettes,With〜きみとわたしたちの物語〜,pastel_palettes__340,2.32,2.000,92.3,245.9,0,92|92|92|92|92|92
171,hello_happy_world,ようこそジャパリパークへ (Cover),hello_happy_world__171,2.31,2.000,172.3,206.2,0,172|172|172|172|172|172
206,morfonica,MUGEN Reverberate!,morfonica__206,2.31,1.500,92.3,230.3,0,92|92|92|92|92|92
74,ave_mujica,Imprisoned XII,ave_mujica__074,2.30,1.960,107.7,192.2,0,108|103|103|108|103|108
423,poppin_party,イントロダクション,poppin_party__423,2.28,1.938,161.5,221.4,0,161|161|167|161|161|161
476,poppin_party,only my railgun (Cover),poppin_party__476,2.26,1.500,143.6,253.3,0,144|144|144|144|144|144
117,hello_happy_world,ふぁいぶスマイル◯オールインっ！,hello_happy_world__117,2.25,2.100,126.0,246.3,0,126|123|123|126|126|126
314,pastel_palettes,SURVIVOR ねばーぎぶあっぷ!,pastel_palettes__314,2.25,2.000,99.4,248.6,0,99|99|99|99|99|99
491,raise_a_suilen,A DECLARATION OF ×××,raise_a_suilen__491,2.23,1.529,152.0,315.8,0,152|152|152|152|152|152
375,poppin_party,Yes! BanG_Dream!,poppin_party__375,2.22,2.000,92.3,310.0,0,92|92|92|92|92|99
84,ave_mujica,Ave Mujica,ave_mujica__084,2.21,1.917,112.3,278.0,0,112|112|112|112|112|112
281,mygo,過惰幻,mygo__281,2.21,2.000,172.3,237.6,0,172|172|172|172|172|172
627,roselia,ZEAL of proud,roselia__627,2.21,1.538,99.4,279.1,0,99|99|99|99|99|99
248,mugendai_mutype,コミュ着火Fire!,mugendai_mutype__248,2.20,2.000,99.4,185.0,0,99|99|99|99|99|99
263,mygo,影色舞,mygo__263,2.20,1.067,161.5,209.5,0,161|161|167|167|161|161
640,roselia,右肩の蝶 (Cover),roselia__640,2.20,2.056,139.7,276.5,0,140|140|140|140|140|136
261,mygo,壱雫空,mygo__261,2.19,1.923,103.4,189.6,0,99|103|103|99|99|103
383,poppin_party,夢みるSunflower,poppin_party__383,2.19,1.067,161.5,279.9,0,161|161|161|161|161|161
296,mygo,君の神様になりたい。 (Cover),mygo__296,2.17,2.000,99.4,249.3,0,99|99|99|99|99|99
332,pastel_palettes,SAKURAスキップ,pastel_palettes__332,2.17,1.938,161.5,228.8,0,161|161|161|161|161|161
532,raise_a_suilen,POLARIS,raise_a_suilen__532,2.17,2.000,92.3,271.6,0,92|92|92|92|92|92
222,morfonica,メロウ (Cover),morfonica__222,2.16,2.000,143.6,249.2,0,144|144|144|144|144|144
577,roselia,- HEROIC ADVENT -,roselia__577,2.16,2.000,92.3,222.1,0,92|92|92|92|92|92
27,afterglow,Northern lights,afterglow__027,2.15,1.900,136.0,209.1,0,136|136|136|136|136|136
400,poppin_party,Hello! Wink!,poppin_party__400,2.15,2.000,152.0,281.9,0,152|152|152|152|152|152
31,afterglow,青い栞,afterglow__031,2.14,2.000,132.5,336.8,0,133|129|133|133|129|133
272,mygo,栞,mygo__272,2.14,1.933,172.3,266.4,0,172|172|172|172|178|172
466,poppin_party,心絵 (Cover),poppin_party__466,2.12,1.929,95.7,256.7,0,96|92|96|92|96|96
459,poppin_party,勇気Limit！,poppin_party__459,2.11,1.917,112.3,222.6,0,112|112|112|112|112|112
275,mygo,孤壊牢,mygo__275,2.09,2.000,92.3,215.6,0,92|92|92|92|92|92
35,afterglow,That's why I'm here.,afterglow__035,2.08,1.500,92.3,261.9,0,92|92|92|92|92|92
257,mugendai_mutype,やわやわNERD 超FreQuency,mugendai_mutype__257,2.07,1.944,143.6,187.6,0,144|144|144|144|144|144
47,afterglow,Bunny Girl (Cover),afterglow__047,2.04,1.500,107.7,217.2,0,108|108|108|108|108|108
461,poppin_party,絆色のアンサンブル,poppin_party__461,2.02,1.429,92.3,312.1,0,96|92|92|96|92|96
193,morfonica,Polyphonyscape,morfonica__193,2.01,2.000,152.0,251.4,0,152|152|152|152|152|152
219,morfonica,QUEEN (Cover),morfonica__219,2.00,2.000,172.3,145.8,0,172|172|172|172|172|172
136,hello_happy_world,全力少年,hello_happy_world__136,1.97,1.526,136.0,241.8,0,136|136|136|136|136|136
563,raise_a_suilen,VORACITY (Cover),raise_a_suilen__563,1.97,2.000,99.4,207.5,0,99|99|99|99|99|99
247,mugendai_mutype,新人類は仮想世界の夢を見るか?,mugendai_mutype__247,1.94,2.071,92.3,234.0,0,92|92|92|92|178|92
349,pastel_palettes,サインはB (Cover),pastel_palettes__349,1.94,1.467,172.3,215.4,0,172|172|172|172|172|172
443,poppin_party,最強☆ソング,poppin_party__443,1.93,1.071,92.3,255.1,0,92|92|92|92|92|92
164,hello_happy_world,エイリアンエイリアン (Cover),hello_happy_world__164,1.92,2.000,152.0,183.1,0,152|152|152|152|152|152
484,poppin_party,ディスカバリー！ (Cover),poppin_party__484,1.91,2.000,172.3,278.2,0,172|172|172|172|172|172
226,morfonica,chAngE (Cover),morfonica__226,1.90,1.938,161.5,249.6,0,161|161|161|161|161|161
453,poppin_party,Game Changer,poppin_party__453,1.90,2.000,99.4,195.8,0,99|99|99|99|99|99
250,mugendai_mutype,Hi-Vision,mugendai_mutype__250,1.89,1.923,103.4,180.5,0,103|103|103|99|103|103
276,mygo,霧周途,mygo__276,1.89,1.917,107.7,222.2,0,108|108|108|108|108|108
438,poppin_party,ここから先は歌にならない,poppin_party__438,1.89,1.929,95.7,277.6,0,96|96|96|92|96|96
318,pastel_palettes,Wonderful Sweet!,pastel_palettes__318,1.87,1.067,166.7,247.4,0,167|172|167|167|167|167
215,morfonica,Resonant Strings,morfonica__215,1.86,1.538,99.4,240.4,0,99|99|99|99|99|99
430,poppin_party,新しい季節に,poppin_party__430,1.86,3.100,126.0,211.8,0,123|126|123|126|126|123
30,afterglow,Listen!!,afterglow__030,1.84,1.467,172.3,227.5,0,172|172|172|172|172|172
131,hello_happy_world,ひまわりの約束,hello_happy_world__131,1.84,2.062,156.6,307.3,0,157|157|157|157|157|157
623,roselia,Call the shots,roselia__623,1.84,1.929,95.7,265.3,0,96|96|96|96|96|92
659,roselia,KING (Cover),roselia__659,1.84,1.938,166.7,134.7,0,167|161|167|167|167|167
237,mugendai_mutype,アイの夢限,mugendai_mutype__237,1.83,2.000,117.5,200.5,0,117|117|120|120|117|117
242,mugendai_mutype,グラディエント,mugendai_mutype__242,1.83,3.909,117.5,201.0,0,120|117|120|117|117|117
367,pastel_palettes,世界は恋に落ちている (Cover),pastel_palettes__367,1.82,2.000,129.2,313.2,0,129|129|129|129|129|129
384,poppin_party,ティアドロップス ～Popipa Acoustic Ver.～,poppin_party__384,1.81,1.071,92.3,232.7,0,92|92|92|92|92|92
125,hello_happy_world,わちゃ・もちゃ・ぺったん行進曲,hello_happy_world__125,1.80,2.000,161.5,233.2,0,161|161|161|161|161|161
244,mugendai_mutype,真夜中遊園地,mugendai_mutype__244,1.80,1.538,99.4,230.0,0,99|99|99|99|99|99
388,poppin_party,クリスマスのうた,poppin_party__388,1.80,1.474,136.0,277.4,0,136|136|136|136|136|136
465,poppin_party,幾億光年 (Cover),poppin_party__465,1.79,2.077,95.7,275.4,0,99|96|99|96|96|96
401,poppin_party,Step×Step!,poppin_party__401,1.78,1.059,152.0,249.0,0,152|152|152|148|148|152
494,raise_a_suilen,HELL! or HELL?,raise_a_suilen__494,1.78,2.000,99.4,282.3,0,99|99|99|99|99|99
595,roselia,Original Call,roselia__595,1.78,2.000,172.3,225.3,0,172|172|172|172|172|172
154,hello_happy_world,ヒャダインのじょーじょーゆーじょー (Cover),hello_happy_world__154,1.76,2.000,99.4,251.1,0,99|99|99|99|99|99
5,afterglow,Hey-day狂騒曲(カプリチオ),afterglow__005,1.75,2.062,161.5,233.7,0,157|161|157|161|161|161
140,hello_happy_world,サンバロハッピ〜！,hello_happy_world__140,1.73,2.000,129.2,216.5,0,129|129|129|129|129|129
212,morfonica,ビューティ・フォー,morfonica__212,1.73,2.000,99.4,189.3,0,99|99|99|99|99|99
283,mygo,砂寸奏,mygo__283,1.73,2.000,92.3,223.6,0,92|92|92|92|92|92
477,poppin_party,ロミオとシンデレラ (Cover),poppin_party__477,1.73,1.533,172.3,280.3,0,172|172|172|172|172|172
618,roselia,Talk to My Tone,roselia__618,1.73,2.083,107.7,246.0,0,103|108|103|108|103|108
633,roselia,Swear ～Night & Day～,roselia__633,1.73,2.091,112.3,304.0,0,112|112|112|112|112|112
194,morfonica,Wreath of Brave,morfonica__194,1.71,1.900,136.0,263.2,0,136|136|136|136|136|136
208,morfonica,esora no clover,morfonica__208,1.71,2.000,161.5,193.9,0,161|161|161|161|161|161
334,pastel_palettes,秘密の扉から会いにきて,pastel_palettes__334,1.71,2.000,92.3,218.6,0,92|92|92|92|92|92
650,roselia,新時代 (Cover),roselia__650,1.71,2.000,172.3,226.6,0,167|172|172|172|172|172
190,morfonica,"寄る辺のSunny, Sunny",morfonica__190,1.70,2.000,92.3,216.0,0,92|92|92|92|92|92
252,mugendai_mutype,✞animaるパーティ✞開催中✞,mugendai_mutype__252,1.69,2.000,99.4,177.0,0,99|99|99|99|99|99
323,pastel_palettes,ハレハレ☆フォーチュン,pastel_palettes__323,1.69,1.944,143.6,270.5,0,144|144|144|144|144|144
435,poppin_party,Sweets BAN!,poppin_party__435,1.69,1.062,152.0,255.9,0,152|152|152|152|157|152
216,morfonica,Shining Leaves,morfonica__216,1.68,2.000,92.3,218.0,0,92|92|92|92|92|92
308,pastel_palettes,Power of LOVE!!!,pastel_palettes__308,1.68,1.467,172.3,231.7,0,172|172|172|172|172|172
87,ave_mujica,Symbol III : ▽,ave_mujica__087,1.67,1.077,95.7,256.9,0,96|96|92|99|96|108
235,morfonica,V.I.P (Cover),morfonica__235,1.67,2.000,92.3,193.5,0,92|92|92|92|92|92
637,roselia,HONEY (Cover),roselia__637,1.67,1.500,92.3,227.6,0,92|92|92|92|92|92
553,raise_a_suilen,Bling-Bang-Bang-Born (Cover),raise_a_suilen__553,1.66,2.062,156.6,168.7,0,157|157|157|157|157|157
592,roselia,Sage der Rosen,roselia__592,1.65,2.000,161.5,245.0,0,152|161|161|161|161|161
9,afterglow,ONE OF US,afterglow__009,1.64,2.083,107.7,282.3,0,108|108|108|108|108|103
142,hello_happy_world,むすんでわらって,hello_happy_world__142,1.63,2.000,129.2,242.0,0,129|129|129|129|129|129
288,mygo,エガクミライ,mygo__288,1.63,1.933,172.3,239.4,0,172|178|172|172|172|172
162,hello_happy_world,きゅうくらりん (Cover),hello_happy_world__162,1.62,3.917,107.7,214.8,0,108|108|108|108|108|108
422,poppin_party,Tomorrow's Door,poppin_party__422,1.62,1.933,172.3,247.6,0,178|178|172|172|172|172
458,poppin_party,世界中の青空をあつめて,poppin_party__458,1.62,2.077,99.4,230.4,0,99|99|99|99|99|99
644,roselia,海色 (Cover),roselia__644,1.62,1.538,99.4,256.8,0,99|99|99|99|99|99
53,afterglow,チルドレンレコード (Re:boot) (Cover),afterglow__053,1.61,1.923,103.4,189.7,0,103|103|103|103|103|103
634,roselia,Reweave (Cover),roselia__634,1.58,1.500,92.3,238.1,0,92|92|92|92|92|92
141,hello_happy_world,ボクらの夏's☆ショーたいむっ！！,hello_happy_world__141,1.57,1.933,178.2,206.8,0,178|178|178|172|178|178
42,afterglow,“Say cheese!!!!!”,afterglow__042,1.56,2.000,117.5,261.1,0,117|117|117|117|117|117
134,hello_happy_world,エクストラ・マジック・アワー,hello_happy_world__134,1.56,2.071,92.3,255.3,0,120|92|92|92|144|92
446,poppin_party,とっておきAnswer,poppin_party__446,1.56,2.077,95.7,196.8,0,96|96|96|96|99|96
456,poppin_party,遠い音楽 ～ハートビート～,poppin_party__456,1.56,2.067,166.7,243.2,0,169|167|167|167|167|167
77,ave_mujica,顔,ave_mujica__077,1.55,2.056,139.7,242.2,0,140|140|140|140|140|140
469,poppin_party,私は最強 (Cover),poppin_party__469,1.55,2.077,95.7,257.9,0,96|96|96|96|96|96
372,pastel_palettes,夜に駆ける (Cover),pastel_palettes__372,1.53,2.000,129.2,262.6,0,129|129|129|129|129|129
506,raise_a_suilen,Sacred world,raise_a_suilen__506,1.53,2.000,143.6,300.8,0,144|144|144|144|144|144
181,morfonica,メランコリックララバイ,morfonica__181,1.52,2.071,92.3,216.1,0,92|92|92|92|92|92
306,pastel_palettes,天下トーイツ A to Z☆,pastel_palettes__306,1.52,2.000,152.0,218.6,0,152|152|152|152|152|152
418,poppin_party,Home Street,poppin_party__418,1.52,2.083,107.7,228.0,0,108|108|108|108|108|108
434,poppin_party,Live Beyond!!,poppin_party__434,1.52,1.929,92.3,314.6,0,96|92|92|92|92|96
574,roselia,ONENESS,roselia__574,1.52,1.929,95.7,239.2,0,99|96|96|96|96|96
505,raise_a_suilen,EXIST,raise_a_suilen__505,1.51,2.056,143.6,238.5,0,140|144|144|144|140|140
55,afterglow,GO!!! (Cover),afterglow__055,1.50,1.900,136.0,239.7,0,136|136|136|136|136|136
189,morfonica,Sweet Cheers!,morfonica__189,1.50,1.091,107.7,224.3,0,108|108|108|108|108|108
8,afterglow,RED RED RED,afterglow__008,1.49,1.077,92.3,224.4,0,92|92|92|92|92|92
389,poppin_party,B.O.F,poppin_party__389,1.49,2.000,172.3,218.9,0,172|172|172|172|172|172
620,roselia,礎の花冠,roselia__620,1.49,2.000,172.3,246.9,0,172|172|172|172|172|172
339,pastel_palettes,everyday flower,pastel_palettes__339,1.48,2.000,136.0,240.3,0,136|136|136|136|136|136
511,raise_a_suilen,THE WAY OF LIFE,raise_a_suilen__511,1.48,2.000,172.3,238.2,0,172|172|172|172|172|172
114,hello_happy_world,うぃーきゃん☆フレフレっ！,hello_happy_world__114,1.47,2.071,92.3,239.6,0,112|92|144|92|92|92
280,mygo,夜隠染,mygo__280,1.47,2.091,112.3,201.0,0,112|117|112|112|112|112
437,poppin_party,Moonlight Walk,poppin_party__437,1.45,1.929,95.7,226.6,0,96|96|96|96|96|92
463,poppin_party,ちゅ、多様性。 (Cover),poppin_party__463,1.44,2.000,152.0,188.1,0,152|152|152|152|152|152
307,pastel_palettes,しゅわりん☆どり〜みん,pastel_palettes__307,1.43,1.467,172.3,236.4,0,172|172|172|172|172|172
431,poppin_party,トレモロアイズ,poppin_party__431,1.43,1.938,161.5,241.4,0,161|161|161|161|161|161
448,poppin_party,どきどきデエト,poppin_party__448,1.43,2.000,92.3,217.3,0,92|92|92|92|92|92
452,poppin_party,Freedom,poppin_party__452,1.43,2.000,161.5,264.6,0,161|161|161|161|161|161
61,afterglow,Redo (Cover),afterglow__061,1.40,1.929,95.7,261.6,0,96|96|96|96|92|96
412,poppin_party,1000回潤んだ空,poppin_party__412,1.40,2.000,92.3,330.8,0,117|92|92|92|92|92
124,hello_happy_world,現るっ！大怪盗ハロハッピー！,hello_happy_world__124,1.39,1.500,92.3,224.1,0,92|92|92|92|92|92
392,poppin_party,最高(さあ行こう)！,poppin_party__392,1.38,2.071,92.3,228.9,0,92|92|92|92|92|92
490,raise_a_suilen,Invincible Fighter,raise_a_suilen__490,1.38,2.000,99.4,250.9,0,99|99|99|99|99|99
155,hello_happy_world,はいよろこんで (Cover),hello_happy_world__155,1.36,1.944,143.6,160.2,0,144|144|144|148|148|144
315,pastel_palettes,Wonderland Girl,pastel_palettes__315,1.36,1.474,136.0,271.0,0,136|136|136|136|136|136
234,morfonica,アゲハ蝶 (Cover),morfonica__234,1.35,2.000,117.5,280.7,0,117|117|117|117|117|117
364,pastel_palettes,Q＆A　リサイタル！ (Cover),pastel_palettes__364,1.35,2.000,92.3,291.2,0,92|92|92|92|92|92
548,raise_a_suilen,ラスハピーポー！,raise_a_suilen__548,1.34,2.000,99.4,200.4,0,99|99|99|99|99|99
33,afterglow,Butter-Fly,afterglow__033,1.33,2.000,172.3,250.2,0,172|172|172|172|172|172
231,morfonica,メリッサ (Cover),morfonica__231,1.33,2.000,172.3,256.8,0,172|172|172|172|172|172
311,pastel_palettes,ゆめゆめグラデーション,pastel_palettes__311,1.33,2.000,136.0,284.7,0,136|136|136|136|136|136
569,raise_a_suilen,CORE PRIDE (Cover),raise_a_suilen__569,1.31,2.000,92.3,257.2,0,92|92|92|92|92|92
163,hello_happy_world,ロメオ (Cover),hello_happy_world__163,1.30,2.056,139.7,320.2,0,140|140|144|144|140|140
485,poppin_party,チェリボム (Cover),poppin_party__485,1.30,1.929,92.3,246.4,0,92|96|92|92|92|92
403,poppin_party,White Afternoon,poppin_party__403,1.29,2.000,143.6,300.0,0,144|144|144|144|144|144
565,raise_a_suilen,狂乱 Hey Kids!! (Cover),raise_a_suilen__565,1.29,1.500,143.6,249.9,0,144|144|144|144|144|144
419,poppin_party,What's the POPIPA!?,poppin_party__419,1.28,2.000,92.3,278.7,0,92|92|92|92|92|92
515,raise_a_suilen,CORUSCATE -DNA-,raise_a_suilen__515,1.28,2.059,147.7,287.4,0,148|148|152|148|148|148
329,pastel_palettes,DANCE! おジャ魔女,pastel_palettes__329,1.27,2.000,152.0,196.5,0,152|152|152|152|152|152
398,poppin_party,NO GIRL NO CRY/Poppin'Party Ver.,poppin_party__398,1.27,1.929,95.7,312.8,0,96|96|92|96|92|96
462,poppin_party,NO GIRL NO CRY (Poppin'Party Ver.),poppin_party__462,1.27,1.929,95.7,312.8,0,96|96|92|96|92|96
174,hello_happy_world,ダーリンダンス (Cover),hello_happy_world__174,1.26,2.000,152.0,207.6,0,152|152|152|152|152|152
540,raise_a_suilen,WELCOME TO PANDEMONIUM,raise_a_suilen__540,1.26,1.923,103.4,254.8,0,103|99|103|103|103|103
324,pastel_palettes,ハナヒバナ,pastel_palettes__324,1.25,1.929,95.7,274.2,0,96|96|96|92|96|96
348,pastel_palettes,だから、ひとりじゃない (Cover),pastel_palettes__348,1.25,2.071,178.2,230.1,0,178|178|178|178|178|178
624,roselia,THRONE OF ROSE,roselia__624,1.24,2.000,161.5,312.4,0,161|161|161|161|161|161
487,poppin_party,怪物 (Cover),poppin_party__487,1.23,2.000,172.3,206.6,0,172|172|172|172|172|172
510,raise_a_suilen,Domination to world,raise_a_suilen__510,1.23,2.000,99.4,258.2,0,99|99|99|99|99|99
