song_name,url,type,author,note
私は最強,https://youtu.be/fRxQcfI2PXo,cover,poppin_party,
トウキョウ・シャンディ・ランデヴ,https://youtu.be/FWdBp0JXxhs,cover,poppin_party,
大河よ共に泣いてくれ,https://youtu.be/veg7lPvuHzc,cover,poppin_party,
夜行性ハイズ,https://youtu.be/bAB2ZuwcxFc,cover,poppin_party,
メランコリック,https://youtu.be/7X1NMdaFLiw,cover,poppin_party,
空色デイズ,https://youtu.be/6iYWGNVzctM,cover,poppin_party,
怪獣の花唄,https://youtu.be/36Q4jzk_IvE,cover,poppin_party,
光るなら,https://youtu.be/tM9njVVTxaQ,cover,poppin_party,
ミュージック・アワー,https://youtu.be/dwYnaJHhnmw,cover,poppin_party,
only my railgun,https://youtu.be/MjJX_7wt76A,cover,poppin_party,
ロミオとシンデレラ,https://youtu.be/AO5UM_1IIFQ,cover,poppin_party,
Daydream café,https://youtu.be/2uu5rGrlHec,cover,poppin_party,
君じゃなきゃダメみたい,https://youtu.be/o4JpKWTT2rI,cover,poppin_party,
CiRCLE THANKS MUSiC♪,https://youtu.be/P6o2SIJAxWw,original,poppin_party,
開けたらDream!,https://youtu.be/E7Vac5VF7Qg,original,poppin_party,
絆色のアンサンブル,https://youtu.be/tvXmaug8tG8,original,poppin_party,
NO GIRL NO CRY (Poppin'Party Ver.),https://youtu.be/uBLg7gB5FiM,original,poppin_party,버전/편곡곡
＊〜アスタリスク〜,https://youtu.be/nAmOOEi3LHc,cover,poppin_party,
DAYS of DASH,https://youtu.be/dGAFk19MN6Q,cover,poppin_party,
檄！帝国華撃団,https://youtu.be/XtZaRGkRwL4,cover,poppin_party,
DAYS,https://youtu.be/SJWQwOIdJgY,cover,poppin_party,
ディスカバリー！,https://youtu.be/EHmHYlveZTI,cover,poppin_party,
千本桜,https://youtu.be/Etgy6v3dcBI,cover,poppin_party,
チェリボム,https://youtu.be/BomRuEmkPsc,cover,poppin_party,
ヴァンパイア,https://youtu.be/I_TIPc02Ros,cover,poppin_party,
怪物,https://youtu.be/k49-xYTRmyY,cover,poppin_party,
DEAD HEAT BEAT,https://youtu.be/U4pbo95vPLw,original,raise_a_suilen,RSS 수집 범위 외 구곡
Get Wild,https://youtu.be/ezQiWaCbpug,cover,raise_a_suilen,
ボッカデラべリタ,https://youtu.be/OsWFLfjctjQ,cover,raise_a_suilen,
第ゼロ感,https://youtu.be/-87myA3SB-g,cover,raise_a_suilen,
Bad Kids All Bet,https://youtu.be/mKt2u5a3-H8,original,raise_a_suilen,
DEPARTURES,https://youtu.be/zxmuv-eBMhE,cover,raise_a_suilen,
CORE PRIDE,https://youtu.be/s6dRFNngbQE,cover,raise_a_suilen,
劣等上等,https://youtu.be/jE_GE2IJ5FA,cover,raise_a_suilen,
DAYBREAK FRONTLINE,https://youtu.be/6fnHTFegaM4,cover,raise_a_suilen,
Light a fire,https://youtu.be/oVEfC2fyvLY,original,raise_a_suilen,
Just Awake,https://youtu.be/nyn9h6BraQ4,cover,raise_a_suilen,
Keep the Heat and Fire Yourself Up,https://youtu.be/SGMxavJkvqA,cover,raise_a_suilen,
ボッカデラベリタ,https://youtu.be/1Ey5S6imOwM,cover,raise_a_suilen,
Embrace of light,https://youtu.be/7LN3sI8JE5E,original,raise_a_suilen,
OUTSIDER RODEO,https://youtu.be/gSVSgtA9ke4,original,raise_a_suilen,
JUST THE WAY I AM,https://youtu.be/-0OIoHQv5qY,original,raise_a_suilen,
VORACITY,https://youtu.be/rdAtnVC03M0,cover,raise_a_suilen,
ラスハピーポー！,https://youtu.be/Wq-hNQDOPJA,original,raise_a_suilen,
神っぽいな,https://youtu.be/J1pFz1b08f8,cover,raise_a_suilen,
狂乱 Hey Kids!!,https://youtu.be/NaadmtMFqI4,cover,raise_a_suilen,
SAVIOR OF SONG,https://youtu.be/M45pCdVZhHY,cover,raise_a_suilen,
恋しさとせつなさと心強さと,https://youtu.be/8XRwP6pLi_s,cover,raise_a_suilen,
Our Carol,https://youtu.be/YFgOepr8D1U,original,roselia,RSS 수집 범위 외 구곡
Swear ～Night & Day～,https://youtu.be/KL3YlXhEnWE,original,roselia,RSS 수집 범위 외 구곡
