band,idx,song,duration_s,harmonic_ratio,centroid,rolloff,flatness,contrast,flux,zcr,rms,tempo_excerpt,mode_score,key,voiced_frac_mix,acousticness_proxy,instrumentalness_proxy,energy_proxy
afterglow,1,That Is How I Roll!,239.6,0.67244,2890.74679,5680.16565,0.04254,21.90067,1.27923,0.15562,0.27143,117.45384,0.07978,Dmaj,0.51445,-1.625907994607268,-0.7424589433514212,-0.5863656406334609
afterglow,2,SENSENFUKOKU,246.5,0.65763,2654.32859,5583.74957,0.03037,21.57486,1.27906,0.12697,0.24946,135.99918,0.02075,Fmaj,0.34778,-0.8547298561925512,0.23696279430859518,-1.416643727990612
afterglow,3,I knew it!,291.3,0.72281,2467.6521,4791.71547,0.03049,21.14698,1.10984,0.13296,0.28898,99.38401,0.28963,Amaj,0.65583,0.0999925282193097,-1.5732661988285508,-2.5477766020830934
afterglow,5,Hey-day狂騒曲(カプリチオ),233.7,0.6841,3054.31926,6300.57301,0.05357,21.1258,1.27334,0.15857,0.2897,151.99908,-0.07085,Dmin,0.4324,-2.350930820708654,-0.2602992650949605,-1.38134316676503
afterglow,11,Scarlet Sky,229.0,0.7256,2795.98396,5543.24981,0.03649,22.15934,1.14183,0.14503,0.31004,123.04688,0.20253,Amaj,0.56037,-0.34696920968580114,-1.0123038236139041,-0.5564689325354467
afterglow,13,いつも通りのBrand new days,237.3,0.669,2501.63915,5154.3855,0.02462,22.0564,1.25005,0.12007,0.28219,129.19922,0.28883,C#maj,0.5129,-0.21858209429433828,-0.7333505033599832,-0.39678762977590787
afterglow,14,SWITCH ON NOW,207.3,0.71228,2752.99537,5993.59154,0.03555,21.27474,1.20915,0.12998,0.30904,135.99918,-0.02717,G#min,0.52374,-0.4675772006902946,-0.7970508191710742,-1.306124627032563
afterglow,17,Trouble Joyful!!,237.9,0.73099,2646.10266,5514.63888,0.02935,22.30954,1.23234,0.12539,0.29096,129.19922,0.11171,Cmaj,0.52941,0.3138011267948252,-0.8303700803010458,-0.02432249441775891
afterglow,28,トーキョーワンダー。,153.8,0.65973,2314.92329,4602.62772,0.02275,21.0265,1.20344,0.11721,0.30897,135.99918,-9e-05,Dmin,0.33695,-0.20358290709689142,0.3006043459907091,-1.6908860616454218
afterglow,31,青い栞,336.8,0.78474,2093.99368,4578.48343,0.01136,23.53501,1.25383,0.08305,0.2427,129.19922,0.30375,Bmaj,0.79876,2.5730801999401347,-2.4131818942971184,0.986205283276025
